id,rle_mask
009d3365bc,26 27 78 24 127 27 179 24 228 27 280 24 329 28 381 24 430 28 482 24 531 29 584 23 633 28 685 23 734 29 786 23 835 29 887 23 936 29 988 23 1037 30 1090 22 1138 30 1191 22 1239 30 1293 21 1340 30 1395 20 1441 30 1496 20 1541 31 1597 20 1642 31 1698 20 1743 31 1800 19 1843 32 1901 19 1944 32 2003 18 2044 33 2105 17 2145 33 2206 17 2246 33 2308 16 2346 34 2409 16 2447 34 2511 15 2547 35 2612 15 2648 35 2713 15 2748 36 2815 14 2849 36 2916 14 2950 36 3018 13 3051 36 3120 12 3152 36 3221 12 3253 36 3323 11 3354 35 3426 9 3455 35 3528 8 3556 35 3630 7 3657 35 3733 5 3758 35 3836 3 3859 35 3960 35 4062 35 4163 35 4264 35 4366 34 4467 35 4569 34 4670 34 4771 35 4873 34 4974 34 5076 33 5177 33 5279 32 5380 32 5482 31 5583 30 5685 29 5787 28 5889 27 5991 25 6093 24 6195 22 6298 20 6400 19 6502 17 6604 16 6706 15 6809 13 6913 10 7016 7 7122 1
00a738b887,7412 13 7512 19 7613 24 7715 29 7778 6 7815 34 7879 18 7915 38 7980 22 8015 42 8081 27 8113 48 8182 83 8283 85 8384 87 8485 88 8586 90 8687 91 8788 92 8889 94 8990 95 9091 96 9192 96 9293 96 9394 88 9486 2 9495 87 9596 89 9697 92 9798 96 9899 303
00aaa5b7f4,6573 7 6667 17 6768 19 6869 20 6970 22 7071 23 7172 25 7273 28 7374 30 7475 32 7576 34 7677 36 7778 41 7879 57 7980 60 8081 66 8182 70 8283 72 8384 74 8485 76 8586 78 8687 80 8788 83 8889 88 8990 91 9091 95 9192 1010
00c6536758,97 5 198 5 299 5 400 5 500 6 601 6 701 7 801 8 902 8 1002 9 1102 10 1203 10 1303 11 1403 12 1504 12 1604 13 1704 14 1804 15 1905 15 2005 16 2105 17 2205 18 2306 18 2406 19 2506 20 2606 21 2706 22 2806 23 2906 24 3006 25 3106 26 3206 27 3306 28 3407 28 3507 29 3607 30 3708 30 3808 31 3909 31 4010 31 4110 32 4211 32 4312 32 4412 33 4513 33 4613 34 4714 34 4814 35 4914 36 5014 37 5115 37 5215 38 5315 39 5415 40 5515 41 5614 43 5713 45 5813 46 5912 48 6012 17 6035 26 6112 17 6138 24 6213 16 6241 22 6313 16 6343 21 6414 15 6446 19 6514 15 6548 18 6615 15 6650 17 6716 14 6753 15 6816 14 6856 13 6917 13 6959 11 7018 12 7062 9 7118 12 7165 7 7219 12 7272 1 7320 11 7420 11 7520 11 7621 10 7721 10 7822 9 7923 9 8023 9 8124 8 8225 7 8327 5 8428 3
00cdefa5d6,1 5353 5357 98 5493 63
00e6e260a2,57 16 158 16 260 16 361 17 462 19 564 19 666 20 767 21 869 22 970 24 1072 25 1173 27 1274 29 1375 31 1477 31 1578 32 1679 33 1780 34 1882 33 1983 34 2084 35 2186 36 2287 37 2388 37 2490 36 2591 36 2692 36 2793 36 2894 36 2995 36 3096 36 3197 36 3299 35 3401 34 3503 33 3604 33 3706 32 3807 32 3909 31 4011 30 4112 30 4214 29 4315 29 4416 29 4518 28 4619 28 4720 28 4821 28 4922 28 5023 28 5124 28 5225 28 5326 28 5427 28 5527 29 5628 29 5729 29 5829 30 5930 30 6030 31 6131 31 6231 32 6331 33 6432 33 6532 34 6633 34 6734 34 6835 34 6935 35 7036 35 7136 36 7236 37 7337 37 7436 39 7536 40 7636 41 7737 41 7837 42 7937 43 8037 44 8137 45 8238 45 8338 45 8439 44 8539 44 8639 44 8739 44 8840 43 8940 43 9041 42 9141 41 9242 39 9342 39 9442 39 9542 39 9643 38 9743 38 9843 38 9944 38 10044 38 10145 38
00efd96e2c,603 4 700 8 796 13 892 18 989 22 1086 26 1182 31 1278 36 1373 42 1463 53 1557 60 1646 72 1742 77 1840 80 1940 81 2039 83 2139 84 2239 85 2338 87 2437 89 2535 92 2633 95 2732 7470
00f053ec96,1 6161 6168 95 6275 89 6383 82 6489 77 6594 73 6699 69 6804 65 6910 60 7016 55 7120 52 7225 48 7330 44 7434 41 7537 39 7640 37 7743 35 7846 33 7950 30 8054 27 8158 24 8263 18
00f6108ccb,3855 9 3940 5 3949 19 4041 33 4142 36 4242 39 4341 45 4399 3 4440 80 4537 5665
01066c1de0,1 909 912 99 1014 98 1116 97 1219 95 1323 92 1438 78 1540 77 1642 76 1744 75 1847 73 1951 70 2055 67 2159 64 2262 62 2365 60 2468 58 2571 56 2674 54 2777 52 2880 50 2984 47 3089 43 3195 38 3298 36 3402 33 3506 30 3611 26 3716 22 3822 17 3929 11
01166ff99c,1 35 102 35 203 36 304 37 405 38 506 39 607 41 708 42 809 43 910 45 1011 46 1112 47 1213 48 1314 50 1415 51 1516 53 1617 54 1718 56 1819 58 1920 60 2021 62 2122 64 2223 65 2324 67 2425 69 2526 71 2627 73 2728 74 2829 76 2930 78 3031 80 3132 82 3233 84 3334 86 3435 87 3536 88 3637 90 3738 91 3839 93 3940 94 4041 95 4142 97 4243 99 4344 5858
0123eeda35,6865 4 6962 8 7059 12 7157 15 7255 18 7352 22 7450 25 7548 28 7646 31 7743 35 7842 37 7941 39 8041 40 8141 41 8240 43 8340 44 8440 45 8540 46 8640 47 8739 49 8839 50 8938 52 9037 54 9135 57 9234 59 9332 62 9430 65 9528 68 9626 71 9721 77 9817 82 9917 83 10017 84 10118 84
012b7b5cd0,78 24 179 24 280 24 381 24 482 24 583 24 684 24 785 24 885 25 986 25 1088 24 1189 24 1290 24 1391 24 1492 24 1594 23 1695 23 1796 23 1897 23 1997 24 2098 24 2199 24 2300 24 2401 24 2502 24 2603 24 2705 23 2805 24 2906 24 3007 24 3108 24 3209 24 3310 24 3412 23 3513 23 3614 23 3714 24 3815 24 3916 24 4017 24 4118 24 4219 24 4320 24 4421 24 4522 24 4622 25 4723 25 4823 26 4924 26 5024 27 5125 27 5226 27 5327 27 5428 27 5530 26 5631 26 5732 26 5833 26 5934 26 6035 26 6135 27 6236 27 6336 28 6437 28 6538 28 6640 27 6741 27 6843 26 6944 26 7046 25 7147 25 7248 25 7349 25 7449 26 7550 26 7650 27 7751 27 7851 28 7952 28 8053 28 8154 28 8256 27 8357 27 8459 26 8560 26 8661 26 8761 27 8862 27 8963 27 9064 27 9165 27 9266 27 9367 27 9468 27 9569 27 9669 28 9770 28 9871 28 9972 28 10073 28 10174 28
012ee0802b,1 13 102 13 203 14 304 16 405 17 506 18 607 19 708 19 809 20 910 21 1011 22 1112 23 1213 24 1314 25 1415 25 1516 26 1617 27 1718 28 1819 28 1920 29 2021 30 2122 30 2223 31 2324 32 2425 33 2526 34 2627 35 2728 36 2829 37 2930 39 3031 40 3132 41 3233 42 3334 43 3435 44 3536 45 3637 45 3738 46 3839 46 3940 47 4041 48 4142 49 4243 49 4344 50 4445 51 4546 52 4647 53 4748 54 4849 54 4950 55 5051 55 5152 55 5253 56 5354 56 5455 56 5556 57 5657 57 5758 57 5859 57 5960 57 6061 58 6162 58 6263 58 6364 58 6465 58 6566 59 6667 59 6768 59 6869 59 6970 59 7071 59 7172 59 7273 59 7374 58 7475 58 7576 58 7677 58 7778 58 7879 58 7980 57 8081 57 8182 57 8283 57 8384 57 8485 57 8586 56 8687 56 8788 56 8889 56 8990 56 9091 56 9192 56 9293 56 9394 55 9495 55 9596 55 9697 55 9798 55 9899 55 10000 55 10101 55
013259c337,12 90 113 90 214 90 315 90 416 90 517 90 618 90 719 90 820 90 920 91 1021 91 1122 91 1223 91 1323 92 1424 92 1525 92 1626 92 1727 92 1828 92 1930 91 2031 91 2132 91 2233 91 2333 95 2433 590 3031 89 3132 85 3233 83 3334 81 3435 80 3536 79 3637 78 3738 76 3839 75 3940 74 4041 73 4142 72 4243 71 4344 70 4445 69 4546 68 4647 67 4748 67 4849 66 4950 65 5051 65 5152 64 5253 64 5354 63 5455 63 5556 62 5657 61 5758 61 5859 60 5960 59 6061 59 6162 58 6263 56 6364 54 6465 53 6566 52 6667 50 6768 49 6869 1 6872 45 6976 41 7078 37 7181 32 7293 18
013974bce2,25 48 126 48 227 48 328 49 429 49 530 49 632 48 734 48 836 47 938 46 1040 46 1142 45 1245 44 1347 43 1449 43 1552 41 1654 41 1756 40 1858 40 1960 40 2062 40 2164 40 2266 40 2368 40 2470 40 2572 41 2673 43 2775 45 2878 46 2980 48 3084 48 3187 46 3291 43 3394 41 3497 39 3602 35 3705 33 3808 31 3910 30 4013 28 4116 26 4220 23 4324 20 4427 18 4529 17 4632 15 4734 14 4836 13 4939 11 5042 9 5147 5
01495a638f,26 76 127 76 228 76 330 75 431 75 532 75 634 74 735 74 837 73 938 73 1039 73 1140 73 1242 72 1343 72 1444 72 1545 72 1646 72 1747 72 1849 71 1950 71 2050 72 2152 71 2253 71 2354 71 2455 71 2557 70 2658 70 2759 70 2860 70 2961 70 3063 69 3164 69 3265 69 3367 68 3468 68 3570 67 3671 67 3772 67 3873 67 3974 67 4075 67 4177 66 4278 66 4379 66 4481 65 4582 65 4683 65 4784 65 4885 65 4986 65 5087 65 5188 65 5289 65 5390 65 5491 65 5593 64 5694 64 5795 64 5896 64 5997 64 6099 63 6200 63 6301 63 6401 64 6502 64 6603 64 6705 63 6806 63 6908 62 7009 62 7111 61 7212 61 7314 60 7415 60 7517 59 7618 59 7719 59 7821 58 7923 57 8025 56 8126 56 8228 55 8329 55 8430 55 8531 55 8633 54 8734 54 8835 54 8937 53 9038 53 9139 53 9240 53 9342 52 9443 52 9544 52 9645 52 9746 52 9847 52 9948 52 10049 52 10150 52
0167d67b9e,1 67 102 67 203 68 304 69 405 69 506 70 607 71 708 72 809 73 910 74 1011 75 1112 76 1213 77 1314 77 1415 78 1516 78 1617 79 1718 79 1819 79 1920 80 2021 80 2122 80 2223 81 2324 81 2425 82 2526 82 2627 83 2728 83 2829 84 2930 84 3031 84 3132 85 3233 85 3334 86 3435 86 3536 87 3637 87 3738 88 3839 88 3940 89 4041 90 4142 90 4243 90 4344 91 4445 91 4546 91 4647 92 4748 92 4849 92 4950 92 5051 92 5152 92 5253 92 5354 92 5455 92 5556 92 5657 92 5758 92 5859 92 5960 92 6061 92 6162 92 6263 92 6364 92 6465 92 6566 92 6667 92 6768 92 6869 92 6970 93 7071 93 7172 93 7273 93 7374 94 7475 94 7576 94 7677 94 7778 94 7879 94 7980 94 8081 94 8182 94 8283 94 8384 94 8485 94 8586 94 8687 94 8788 94 8889 94 8990 94 9091 94 9192 94 9293 94 9394 94 9495 94 9596 94 9697 94 9798 94 9899 94 10000 93 10101 93
0175551830,2525 1 2624 3 2725 3 2826 3 2926 4 3027 4 3127 5 3227 6 3326 8 3426 9 3527 9 3627 10 3728 10 3828 11 3929 11 4029 12 4130 12 4230 13 4330 14 4430 15 4531 15 4631 16 4732 16 4833 16 4934 16 5034 17 5135 17 5235 18 5335 19 5435 20 5535 21 5635 22 5734 24 5834 25 5935 25 6035 26 6135 27 6236 27 6336 28 6436 29 6537 29 6637 30 6737 31 6838 31 6938 32 7038 33 7138 34 7238 35 7338 36 7438 37 7538 38 7638 39 7738 40 7839 40 7939 41 8039 42 8139 43 8239 44 8340 44 8440 45 8540 46 8639 48 8739 49 8839 50 8939 51 9039 52 9139 53 9239 54 9339 55 9439 56 9539 57 9639 58 9739 59 9839 60 9939 61 10039 62 10140 62
0189ff5265,11 91 112 91 213 91 314 91 416 90 517 90 618 90 720 89 822 88 924 87 1027 85 1129 84 1231 83 1334 81 1436 80 1539 78 1642 76 1745 74 1848 72 1951 70 2054 68 2158 65 2262 62 2365 60 2469 57 2574 53 2680 48 2787 42 2893 37 2997 34 3100 32 3204 29 3308 26 3418 17 3532 4
01914d82ca,9 93 111 92 214 90 317 88 420 86 524 83 627 81 730 79 832 78 935 76 1037 75 1140 73 1242 72 1345 70 1448 68 1551 66 1653 65 1756 63 1858 62 1960 61 2062 60 2164 59 2266 58 2367 58 2469 57 2570 57 2671 57 2772 57 2873 57 2973 58 3074 58 3174 59 3275 59 3375 60 3476 60 3576 61 3677 61 3777 62 3878 62 3978 63 4077 65 4176 67 4275 69 4375 70 4474 72 4575 72 4678 70 4782 67 4886 64 4989 62 5094 58 5198 55 5302 52 5406 49 5517 39 5627 30 5736 22 5842 17 5949 11 6055 6 6161 1
0192693ea2,1 2320 2324 96 2425 95 2526 94 2627 93 2728 92 2829 91 2930 90 3031 90 3132 89 3233 89 3334 89 3435 89 3536 89 3637 89 3738 89 3839 89 3940 89 4041 89 4142 89 4243 89 4344 89 4445 89 4546 88 4647 88 4748 88 4849 87 4950 87 5051 86 5152 85 5253 84 5354 80 5455 78 5556 74 5657 72 5758 70 5859 69 5960 69 6061 68 6162 67 6263 66 6364 65 6465 65 6566 64 6667 64 6768 64 6869 63 6970 62 7071 61 7172 59 7273 56 7374 52 7475 48 7576 44 7677 40 7778 37 7879 32 7980 26 8081 11 8098 5 8182 3
019766b43c,29 73 130 73 231 73 332 73 433 73 535 72 635 73 736 73 837 73 938 73 1039 73 1139 74 1240 74 1341 74 1441 75 1542 75 1643 75 1744 75 1845 75 1946 75 2048 74 2149 74 2250 74 2351 74 2451 75 2552 75 2653 75 2754 75 2854 76 2955 76 3055 77 3156 77 3257 77 3358 77 3459 77 3560 77 3661 77 3762 77 3863 77 3965 76 4066 76 4168 75 4269 75 4371 74 4471 75 4571 76 4671 77 4770 79 4870 80 4970 81 5070 82 5171 82 5272 82 5373 82 5473 83 5574 83 5674 84 5775 84 5875 85 5975 86 6075 87 6176 87 6276 88 6377 88 6478 88 6578 89 6678 90 6778 91 6879 91 6980 91 7081 91 7183 90 7285 89 7388 87 7491 85 7598 79 7701 77 7804 75 7908 72 8011 70 8114 68 8217 66 8320 64 8422 63 8526 60 8628 59 8729 59 8830 59 8931 59 9032 59 9140 52 9242 51 9343 51 9445 50 9546 50 9647 50 9748 50 9847 52 9946 54 10046 55 10146 56
01a70b45ed,52 50 153 50 253 51 354 51 455 51 557 50 659 49 761 48 863 47 965 46 1067 45 1169 44 1272 42 1373 42 1475 41 1576 41 1677 41 1778 41 1879 41 1980 41 2080 42 2181 42 2282 42 2382 43 2483 43 2584 43 2686 42 2787 42 2889 41 2991 40 3092 40 3193 40 3294 40 3395 40 3495 41 3595 42 3695 43 3795 44 3895 45 3994 47 4094 48 4194 49 4294 50 4395 50 4495 51 4595 52 4695 53 4796 53 4896 54 4996 55 5097 55 5197 56 5298 56 5399 56 5499 57 5601 56 5702 56 5803 56 5903 57 6004 57 6104 58 6205 58 6306 58 6406 59 6507 59 6608 59 6708 60 6809 60 6909 61 7010 61 7111 61 7212 61 7312 62 7413 62 7514 62 7614 63 7715 63 7816 63 7917 63 8018 63 8119 63 8220 63 8321 63 8422 63 8523 63 8623 64 8724 64 8825 64 8926 64 9028 63 9129 63 9230 63 9332 62 9433 62 9534 62 9635 62 9737 61 9839 60 9940 60 10042 59 10143 59
01aa774656,3299 22 3394 32 3481 54 3578 59 3672 66 3769 70 3866 74 3964 78 4052 4 4057 6145
01dd84b7dd,1 38 102 38 203 38 304 38 405 39 506 39 607 39 708 39 809 40 910 41 1011 42 1112 44 1213 48 1314 51 1415 55 1516 59 1617 65 1718 68 1819 71 1920 72 2021 72 2122 72 2223 70 2324 66 2425 59 2526 52 2627 44 2728 32 2829 30 2930 28 3031 26 3132 25 3233 24 3334 23 3435 22 3536 21 3637 20 3738 19 3839 19 3940 19 4041 18 4142 18 4243 17 4344 17 4445 16 4546 15 4647 14 4748 13 4849 12 4950 11 5051 10 5152 9 5253 8 5354 7 5455 7 5556 6 5657 5 5758 5 5859 4 5960 3 6061 3 6162 4 6263 4 6364 6 6465 7 6566 8 6667 9 6768 10 6869 10 6970 11 7071 11 7172 11 7273 11 7374 10 7475 9 7576 8 7677 7 7778 6 7879 6 7980 5 8081 4 8182 3
01e136f700,1 3822 3839 77 3940 70 4041 66 4142 58 4243 51 4344 45 4445 37 4546 32 4647 23 4748 12
01ee06523b,6529 4 6629 7 6729 9 6830 10 6931 11 7032 12 7133 12 7234 13 7334 16 7434 19 7535 21 7635 24 7736 26 7836 30 7937 32 8037 36 8138 40 8239 43 8339 45 8440 45 8541 45 8642 45 8743 45 8844 45 8945 45 9046 45 9147 45 9248 45 9349 45 9449 46 9550 46 9652 45 9753 45 9854 45 9955 45 10057 44 10158 44
01f2b031ac,2161 1 2260 12 2361 18 2462 25 2565 32 2615 10 2668 60 2771 58 2873 57 2974 57 3074 58 3174 59 3272 62 3370 65 3467 69 3564 73 3661 77 3759 80 3857 83 3954 87 4051 91 4150 93 4250 94 4350 95 4451 95 4553 94 4654 94 4756 93 4859 91 4962 89 5065 87 5168 85 5271 83 5374 81 5477 79 5579 78 5680 78 5780 79 5877 83 5972 89 6069 93 6167 4035
01f43eb833,8271 12 8367 20 8462 31 8559 38 8657 48 8752 68 8840 1059 9902 98 10008 93 10110 92
01fc11f637,26 76 128 75 230 74 332 73 436 70 540 67 643 65 746 63 849 61 952 59 1055 57 1159 54 1261 53 1363 52 1465 51 1567 50 1668 50 1769 50 1870 50 1970 51 2071 51 2171 52 2272 52 2372 53 2473 53 2574 52 2674 52 2775 50 2876 49 2977 48 3077 48 3178 47 3279 46 3379 46 3479 47 3579 47 3679 47 3779 46 3879 46 3979 46 4078 47 4178 47 4277 48 4377 48 4477 49 4577 49 4677 50 4777 50 4877 51 4976 53 5075 55 5172 59 5265 67 5364 69 5462 72 5557 78 5657 79 5758 79 5859 79 5960 79 6061 79 6162 79 6263 78 6364 78 6465 78 6566 78 6667 77 6768 77 6869 77 6970 76 7071 76 7172 76 7273 76 7374 76 7475 76 7576 75 7677 75 7778 75 7879 75 7980 75 8081 75 8182 74 8283 74 8384 74 8485 73 8586 73 8687 73 8788 72 8889 72 8990 71 9091 71 9192 70 9293 69 9394 69 9495 69 9596 68 9697 68 9798 67 9899 67 10000 67 10101 67
02208cc8e1,2042 7 2138 16 2223 2 2237 19 2324 34 2425 35 2526 35 2627 35 2728 36 2829 36 2930 36 3031 35 3132 35 3233 34 3334 33 3435 33 3536 32 3637 31 3738 30 3839 29 3940 28 4041 27 4142 29 4243 29 4344 28 4445 28 4546 29 4647 30 4748 31 4849 33 4950 34 5051 36 5152 37 5253 38 5354 39 5455 39 5556 40 5657 40 5758 40 5859 40 5960 40 6061 40 6162 39 6263 38 6364 36 6465 33 6566 30 6667 26 6768 21 6869 5 6879 2
0227a27435,1 62 102 62 203 62 304 62 405 62 506 62 607 62 708 62 809 62 910 62 1011 62 1112 61 1213 61 1314 61 1415 61 1516 61 1617 61 1718 60 1819 60 1920 60 2021 60 2122 60 2223 60 2324 60 2425 59 2526 59 2627 59 2728 59 2829 60 2930 60 3031 60 3132 60 3233 61 3334 61 3435 62 3536 62 3637 63 3738 64 3839 65 3940 66 4041 67 4142 68 4243 69 4344 70 4445 71 4546 72 4647 74 4748 75 4849 76 4950 78 5051 78 5152 79 5253 80 5354 81 5455 82 5556 83 5657 85 5758 86 5859 87 5960 88 6061 88 6162 89 6263 89 6364 90 6465 90 6566 91 6667 92 6768 92 6869 93 6970 93 7071 93 7172 94 7273 94 7374 96 7475 2727
0227b5b765,41 61 142 61 242 62 341 64 441 65 541 66 640 68 740 69 839 71 940 71 1039 73 1139 74 1239 75 1339 76 1439 77 1540 77 1640 78 1741 78 1843 77 1944 77 2045 77 2146 77 2247 77 2348 77 2449 77 2550 77 2651 77 2752 77 2854 76 2955 76 3056 76 3157 76 3258 76 3360 75 3461 75 3562 75 3664 74 3765 74 3866 74 3967 74 4069 73 4170 73 4272 72 4373 72 4475 71 4576 71 4678 70 4779 70 4881 69 4983 68 5085 67 5187 66 5289 65 5390 65 5492 64 5594 63 5697 61 5798 61 5900 60 6002 59 6103 59 6205 58 6307 57 6410 55 6512 54 6613 54 6715 53 6817 52 6918 52 7019 52 7120 52 7221 52 7321 53 7422 53 7523 53 7624 53 7726 52 7828 51 7931 49 8033 48 8136 46 8239 44 8342 42 8445 40 8548 38 8651 36 8755 33 8858 31 8960 30 9061 30 9163 29 9264 29 9366 28 9467 28 9569 27 9671 26 9775 23 9887 12 9994 6
02337f94a9,1 4847 4849 98 4950 97 5051 96 5152 94 5253 93 5354 92 5455 90 5556 89 5657 87 5758 86 5859 84 5960 83 6061 81 6162 80 6263 78 6364 77 6465 76 6566 75 6667 74 6768 73 6869 72 6970 71 7071 70 7172 70 7273 69 7374 68 7475 67 7576 66 7677 65 7778 63 7879 62 7980 61 8081 60 8182 60 8283 59 8384 58 8485 57 8586 56 8687 55 8788 53 8889 52 8990 50 9091 48 9192 46 9293 44 9394 42 9495 40 9596 39 9697 37 9798 36 9899 35 10000 33 10101 32
023b29090a,1 19 102 19 203 18 304 18 405 17 506 16 607 16 708 15 809 15 910 15 1011 15 1112 14 1213 14 1314 14 1415 14 1516 14 1617 14 1718 14 1819 14 1920 14 2021 14 2122 14 2223 14 2324 14 2425 14 2526 14 2627 14 2728 14 2829 14 2930 14 3031 14 3132 14 3233 14 3334 14 3435 14 3536 13 3637 13 3738 13 3839 13 3940 13 4041 14 4142 14 4243 14 4344 15 4445 15 4546 15 4647 16 4748 16 4849 17 4950 17 5051 17 5152 18 5253 18 5354 18 5455 18 5556 18 5657 18 5758 18 5859 19 5960 19 6061 19 6162 20 6263 20 6364 20 6465 21 6566 21 6667 22 6768 22 6869 23 6970 23 7071 24 7172 24 7273 24 7374 25 7475 25 7576 25 7677 25 7778 26 7879 26 7980 26 8081 27 8182 27 8283 27 8384 27 8485 28 8586 28 8687 28 8788 28 8889 27 8990 27 9091 27 9192 27 9293 27 9394 26 9495 26 9596 25 9697 25 9798 24 9899 24 10000 23 10101 23
02446ab7b5,1 64 102 65 203 68 304 71 405 74 506 77 607 80 708 83 809 85 910 88 1011 90 1112 92 1213 94 1314 97 1415 1619 3038 11 3055 77 3163 70 3267 67 3371 64 3477 59 3589 48 3693 45 3798 41 3907 33 4012 29 4116 26 4222 21 4328 16 4432 13 4535 11 4638 9 4741 7 4844 5 4947 3
